Wall time,Step,Value
1672365551.7520392,0,0.6505874395370483
1672365553.1921973,1,0.6440053582191467
1672365554.5008092,2,0.6483453512191772
1672365555.0227687,3,0.6207060217857361
1672365556.5889542,4,0.6343143582344055
1672365558.089312,5,0.6356946229934692
1672365559.282711,6,0.6346027255058289
1672365560.3330455,7,0.6499733924865723
1672365561.811194,8,0.6249502897262573
1672365563.2635176,9,0.6196462512016296
1672365564.9362547,10,0.6026474237442017
1672365566.1843255,11,0.6348797678947449
1672365567.474022,12,0.6177993416786194
1672365568.9252915,13,0.6554186344146729
1672365570.3135543,14,0.6172645092010498
1672365571.5092835,15,0.6019164323806763
1672365572.5731351,16,0.6513447165489197
1672365573.756359,17,0.6293460726737976
1672365575.1356475,18,0.6253842115402222
1672365576.2278674,19,0.6419726610183716
1672365576.8084624,20,0.5986859798431396
1672365578.1053913,21,0.6418445110321045
1672365579.404455,22,0.6268054842948914
1672365580.5863204,23,0.6381798386573792
1672365581.7379909,24,0.6488177180290222
1672365582.9505775,25,0.6176681518554688
1672365584.210715,26,0.6295967698097229
1672365585.6125915,27,0.6400731801986694
1672365587.0099156,28,0.6464542150497437
1672365588.0458922,29,0.6126254200935364
1672365589.452557,30,0.5964226126670837
1672365590.703782,31,0.661933183670044
1672365591.366946,32,0.6221569180488586
1672365592.4202113,33,0.6439136862754822
1672365593.1759486,34,0.654569685459137
1672365594.0340052,35,0.6313133835792542
1672365595.391976,36,0.6227407455444336
1672365596.34025,37,0.6012938022613525
1672365597.2657568,38,0.6288374662399292
1672365597.92707,39,0.6237704157829285
1672365599.3453786,40,0.6348681449890137
1672365600.1944788,41,0.6559842228889465
1672365601.2920747,42,0.6257584095001221
1672365601.7747555,43,0.6130331754684448
1672365602.7167847,44,0.6448037624359131
1672365603.5432615,45,0.6479596495628357
1672365604.4306655,46,0.6489299535751343
1672365605.5854616,47,0.6610931754112244
1672365606.726384,48,0.6328116059303284
1672365607.6204872,49,0.6295533776283264
1672365608.5862749,50,0.6214376091957092
1672365609.3582742,51,0.6396315097808838
1672365610.2885084,52,0.6434915661811829
1672365611.3411548,53,0.6501408219337463
1672365612.1296697,54,0.6252396106719971
1672365612.6155717,55,0.6207507252693176
1672365613.1161122,56,0.6498463153839111
1672365613.7983177,57,0.6008564233779907
1672365614.9247084,58,0.6489489078521729
1672365615.8856409,59,0.637031614780426
1672365616.8247204,60,0.6259075403213501
1672365617.678582,61,0.6348875761032104
1672365618.5364933,62,0.6531235575675964
1672365619.2921512,63,0.6353645920753479
1672365620.3450644,64,0.6240260004997253
1672365621.1650364,65,0.649579644203186
1672365622.3990426,66,0.6452978253364563
1672365623.2259865,67,0.585372269153595
1672365624.0481846,68,0.6270469427108765
1672365625.2565274,69,0.6321056485176086
1672365626.0304677,70,0.6453538537025452
1672365627.0690715,71,0.6341447234153748
1672365628.0221725,72,0.6394560933113098
1672365629.1601074,73,0.6345810294151306
1672365630.1075947,74,0.6395474672317505
1672365631.1606545,75,0.6325836181640625
1672365632.078184,76,0.625755250453949
1672365632.892382,77,0.6148066520690918
1672365633.9799964,78,0.6396103501319885
1672365634.9532301,79,0.6025874614715576
1672365636.161095,80,0.6479564309120178
1672365637.402007,81,0.6136482954025269
1672365638.2802105,82,0.6311103701591492
1672365639.4762363,83,0.6491393446922302
1672365640.475486,84,0.6278743743896484
1672365641.4942796,85,0.6533899307250977
1672365642.1098166,86,0.6368329524993896
1672365643.0960407,87,0.6481370329856873
1672365643.9563804,88,0.641342043876648
1672365644.307513,89,0.6217734813690186
1672365645.4071388,90,0.6594192981719971
1672365646.3467731,91,0.6431074738502502
1672365646.5819032,92,0.6100708842277527
1672365647.1948175,93,0.6404175162315369
1672365648.5512633,94,0.6460935473442078
1672365648.9256072,95,0.6210426688194275
1672365649.9719574,96,0.6428962349891663
1672365650.7231224,97,0.6115313768386841
1672365651.6242456,98,0.6340637803077698
1672365652.825451,99,0.6459172368049622
